order_type,product_code,mockup_url,qty,unit_price,hpp_price,total_price,status,beli_gudang,beli_global,unit,unit_multiplier,royalty_fee
SABLON,,,10000,1250,974.6428571,11500000,SELESAI,9500000,0,PCS,1,0
POLOS,STG100,,20000,520,448,9760000,SELESAI,9360000,0,PCS,1,0
POLOS,STG100,,15000,520,448,5775000,SELESAI,6750000,0,PCS,1,0
SABLON,STG002,,10000,835,301.5641026,6890000,SELESAI,5090000,0,PCS,1,0
SABLON,STG014,,10000,692,397.6153846,6420000,SELESAI,4920000,0,PCS,1,0
SABLON,STG014,,10000,642,397.6153846,6420000,SIAP PROSES,4373769.231,0,PCS,1,0
SABLON,STG014,,10000,603,397.6153846,5380000,SELESAI,4030000,0,PCS,1,0
POLOS,STG205,,10000,240,172,2200000,SELESAI,4000000,0,PCS,1,0
POLOS,STG149,,10000,200,162.72,2200000,SELESAI,4000000,0,PCS,1,0
SABLON,STG168,,10000,600,301.4307273,5500000,SELESAI,4000000,0,PCS,1,0
SABLON,STG168,,10000,600,301.4307273,5520000,SELESAI,4000000,0,PCS,1,0
SABLON,STG181,,5000,1070,768.3333333,5350000,SELESAI,3850000,0,PCS,1,0
SABLON,STG014,,10000,569,397.6153846,5380000,SELESAI,3690000,0,PCS,1,0
SABLON,STG014,,10000,569,397.6153846,5380000,SELESAI,3690000,0,PCS,1,0
SABLON,STG014,,10000,569,397.6153846,5380000,SELESAI,3690000,0,PCS,1,0
SABLON,STG014,,10000,568,397.6153846,5380000,SELESAI,3680000,0,PCS,1,0
SABLON,STG014,,10000,542,397.6153846,5380000,SELESAI,3420000,0,PCS,1,0
SABLON,STG014,,10000,542,397.6153846,4920000,SELESAI,3420000,0,PCS,1,0
SABLON,STG015,,11000,540,284.5454545,4840000,SELESAI,3190000,0,PCS,1,0
SABLON,STG003,,10000,460,301.9444444,4620000,SELESAI,3100000,0,PCS,1,0
SABLON,STG015,,250,640,284.5454545,135000,SELESAI,3100000,0,PCS,1,0
SABLON,STG003,,10000,460,301.9444444,4620000,SELESAI,3100000,0,PCS,1,0
SABLON,STG010,,10000,507,330.1470588,4570000,SELESAI,3070000,0,PCS,1,0
SABLON,STG015,,1000,440,284.5454545,540000,SELESAI,3050000,0,PCS,1,0
SABLON,STG015,,800,640,284.5454545,432000,SELESAI,3050000,0,PCS,1,0
SABLON,STG003,,10000,455,301.9444444,4550000,SELESAI,3050000,0,PCS,1,0
SABLON,STG003,,10000,455,301.9444444,4550000,SELESAI,3050000,0,PCS,1,0
SABLON,STG003,,10000,455,301.9444444,4550000,SELESAI,3050000,0,PCS,1,0
SABLON,STG003,,10000,455,301.9444444,4550000,SELESAI,3050000,0,PCS,1,0
SABLON,STG015,,1000,440,284.5454545,540000,SELESAI,3050000,0,PCS,1,0
SABLON,STG003,,10000,455,301.9444444,4550000,SELESAI,3050000,0,PCS,1,0
SABLON,STG167,,10000,504,329.5681667,4540000,SELESAI,3040000,0,PCS,1,0
SABLON,STG172,,10000,493,316.536,4130000,SELESAI,2933500,0,PCS,1,0
SABLON,STG099,,5000,831,348.4210526,4030000,SELESAI,2905000,0,PCS,1,0
SABLON,STG003,,10000,440,301.9444444,4550000,SELESAI,2900000,0,PCS,1,0
SABLON,STG003,,10000,440,301.9444444,4550000,SELESAI,2900000,0,PCS,1,0
SABLON,STG015,,1000,410,284.5454545,540000,SELESAI,2900000,0,PCS,1,0
POLOS,STG084,,200,11000,181.25,52000,SELESAI,2900000,0,PCS,1,0
SABLON,STG015,,1000,440,284.5454545,540000,SELESAI,2900000,0,PCS,1,0
SABLON,STG003,,10000,440,301.9444444,4550000,SELESAI,2900000,0,PCS,1,0
SABLON,STG099,,15000,831,348.4210526,11265000,SELESAI,2730000,0,PCS,1,0
SABLON,STG004,,7000,590,304.3658537,3892000,SELESAI,2730000,0,PCS,1,0
SABLON,STG004,,10000,786,304.3658537,6150000,SELESAI,2650000,0,PCS,1,0
SABLON,STG005,,5000,821.5,381.0227273,4107500,SELESAI,2575000,0,PCS,1,0
SABLON,STG168,,10000,449,301.4307273,3990000,SELESAI,2490000,0,PCS,1,0
SABLON,STG002,,5000,735,301.5641026,3275000,SELESAI,2365000,0,PCS,1,0
SABLON,STG002,,5000,735,301.5641026,3275000,SELESAI,2365000,0,PCS,1,0
SABLON,STG002,,5000,735,301.5641026,3275000,SELESAI,2365000,0,PCS,1,0
SABLON,STG022,,2500,1280,1152.888889,3200000,SELESAI,2250000,0,PCS,1,0
SABLON,STG002,,5000,719,301.5641026,2850000,SELESAI,2245000,0,PCS,1,0
SABLON,STG002,,5000,719,301.5641026,3295000,SELESAI,2245000,0,PCS,1,0
SABLON,STG002,,5000,719,301.5641026,3345000,SELESAI,2245000,0,PCS,1,0
SABLON,STG002,,5000,715,301.5641026,2850000,SELESAI,2225000,0,PCS,1,0
SABLON,STG002,,5000,715,301.5641026,2850000,SELESAI,2225000,0,PCS,1,0
SABLON,STG002,,5000,715,301.5641026,3295000,SELESAI,2225000,0,PCS,1,0
SABLON,STG002,,5000,715,301.5641026,3295000,SELESAI,2225000,0,PCS,1,0
SABLON,STG002,,5000,695,301.5641026,3225000,SELESAI,2225000,0,PCS,1,0
SABLON,STG002,,5000,695,301.5641026,3275000,SELESAI,2225000,0,PCS,1,0
SABLON,STG013,,1000,577,391.9230769,577000,SELESAI,2225000,0,PCS,1,0
SABLON,STG002,,5000,695,301.5641026,3200000,SELESAI,2225000,0,PCS,1,0
SABLON,STG002,,5000,715,301.5641026,2850000,SELESAI,2225000,0,PCS,1,0
SABLON,STG002,,5000,695,301.5641026,3295000,SELESAI,2225000,0,PCS,1,0
SABLON,STG002,,5000,715,301.5641026,2850000,SELESAI,2225000,0,PCS,1,0
SABLON,STG002,,5000,715,301.5641026,2850000,SELESAI,2225000,0,PCS,1,0
SABLON,STG004,,5000,705,304.3658537,3375000,SELESAI,2175000,0,PCS,1,0
SABLON,STG004,,2000,667,304.3658537,1230000,SELESAI,2136000,0,PCS,1,0
SABLON,STG004,,8000,667,304.3658537,4920000,SELESAI,2136000,0,PCS,1,0
SABLON,STG012,,5000,0,333,0,DIKIRIM,2130000,0,PCS,1,0
SABLON,STG182,,2500,1149,852.3333333,2750000,SELESAI,2122500,0,PCS,1,0
SABLON,STG005,,5000,682,381.0227273,3450000,SELESAI,2110000,0,PCS,1,0
POLOS,STG100,,5000,460,448,2065000,SELESAI,2040000,0,PCS,1,0
SABLON,STG165,,5000,601,313.155,2905000,SELESAI,2004185,0,PCS,1,0
SABLON,STG168,,5000,600,301.4307273,2760000,SELESAI,2000000,0,PCS,1,0
SABLON,STG168,,1000,449,301.4307273,427000,SELESAI,1995000,0,PCS,1,0
SABLON,STG168,,5000,649,301.4307273,3000000,SELESAI,1995000,0,PCS,1,0
SABLON,STG168,,5000,649,301.4307273,3000000,SELESAI,1995000,0,PCS,1,0
SABLON,STG168,,5000,649,301.4307273,3000000,SELESAI,1995000,0,PCS,1,0
SABLON,STG168,,5000,667,301.4307273,3000000,SELESAI,1986230,0,PCS,1,0
SABLON,STG168,,5000,647,301.4307273,3000000,SELESAI,1986230,0,PCS,1,0
POLOS,STG149,,2000,180,162.72,440000,SELESAI,1986230,0,PCS,1,0
SABLON,STG171,,5000,668.4,320.7314286,3342000,SELESAI,1985000,0,PCS,1,0
SABLON,STG173,,5000,530,360.283,2650000,BARU MASUK,1981556.5,0,PCS,1,0
SABLON,,,2000,1490,1030.555556,3150000,SELESAI,1980000,0,PCS,1,0
SABLON,STG168,,5000,638,301.4307273,3000000,SELESAI,1940000,0,PCS,1,0
SABLON,STG004,,5000,590,304.3658537,2900000,SELESAI,1930000,0,PCS,1,0
