invoice_number,marketplace_receipt,date,customer_code,notes,total_amount,dp_amount,payment_method,payment_status,status
INV-7351,,45981,ID2705,,495000,495000,BCA,LUNAS,SELESAI
INV-7835,260312VWBJ1K7S,46093,ID2829,,179300,179300,BCA,LUNAS,SELESAI
INV-7032,,45903,ID0082,,700500,700500,BCA,LUNAS,SELESAI
INV-7052,,45909,ID2767,,4120000,4120000,BCA,LUNAS,BERJALAN
INV-8284,260518PX86XH61,46160,ID2991,,702500,702500,BCA,LUNAS,SELESAI
INV-7514,,46018,ID2820,,880000,880000,BCA,LUNAS,SELESAI
INV-8146,2604294AEH7DPC,46143,ID3072,,617100,617100,BCA,LUNAS,SELESAI
INV-7778,,46084,ID2869,,448000,448000,BCA,LUNAS,SELESAI
INV-8160,260502B2KGA744,46144,ID3055,,23000,23000,BCA,LUNAS,SELESAI
INV-7114,,45922,ID2660,,1210000,1210000,BCA,LUNAS,SELESAI
INV-5543,,45726,ID2723,,470000,470000,BCA,LUNAS,SELESAI
INV-7315,251110D2EHJF02,45972,ID2866,,334000,334000,BCA,LUNAS,SELESAI
INV-7346,,45978,ID2874,,845000,845000,BCA,LUNAS,SELESAI
INV-8413,,46178,ID0345,,440000,440000,BCA,LUNAS,SELESAI
INV-7695,,46064,ID0263,,920000,920000,BCA,LUNAS,SELESAI
INV-7760,,46080,ID2705,,448000,448000,BCA,LUNAS,SELESAI
INV-7874,,46106,ID2913,,348000,348000,BCA,LUNAS,SELESAI
INV-6996,,45890,ID2642,,447000,447000,BCA,LUNAS,SELESAI
INV-7528,,46023,ID2876,,1560000,1560000,BCA,LUNAS,BERJALAN
INV-8307,260520VCK22M3Y,46163,ID3056,,23000,23000,BCA,LUNAS,BERJALAN
INV-7823,,46091,ID2837,,264000,264000,BCA,LUNAS,SELESAI
INV-8041,260414SDA3DHD0,46127,ID3046,,16000,16000,BCA,LUNAS,SELESAI
INV-8156,2605018XUDF2RE,46143,ID3041,,23000,23000,BCA,LUNAS,SELESAI
INV-7539,,46027,ID2811,,586000,586000,BCA,LUNAS,SELESAI
INV-8298,,46161,ID0224,,615000,615000,BCA,LUNAS,SELESAI
INV-6617,,45779,ID1599,,945000,945000,BCA,LUNAS,SELESAI
INV-5430,,45691,ID2612,,1360000,1360000,BCA,LUNAS,SELESAI
INV-8278,260517KMGFQ9TW,46160,ID3033,,23000,23000,BCA,LUNAS,SELESAI
INV-7578,,46035,ID2172,,1765000,1765000,BCA,LUNAS,SELESAI
INV-7828,260311UBS08KQN,46093,ID2288,,1760000,1760000,BCA,LUNAS,SELESAI
INV-7321,,45973,ID2811,,586000,586000,BCA,LUNAS,SELESAI
INV-6532,,45754,ID2735,,540000,540000,BCA,LUNAS,SELESAI
INV-8306,,46162,ID2873,,316500,316500,BCA,LUNAS,SELESAI
INV-5330,,45658,ID2611,,2350000,2350000,BCA,LUNAS,SELESAI
INV-7132,,45927,ID1593,,447000,447000,BCA,LUNAS,SELESAI
INV-7299,2511063516FYND,45967,ID2834,,133100,133100,BCA,LUNAS,SELESAI
INV-6642,,45787,ID0187,,1720000,1720000,BCA,LUNAS,SELESAI
INV-6993,,45889,ID2215,,495000,495000,BCA,LUNAS,SELESAI
INV-6888,250721PNX8BA8H,45859,ID2263,,270600,270600,BCA,LUNAS,SELESAI
INV-6560,,45761,ID2652,,535000,535000,BCA,LUNAS,SELESAI
INV-7637,,46049,ID2854,,513000,513000,BCA,LUNAS,SELESAI
INV-6754,250615HXEC2KTN,45824,ID2677,,589000,589000,BCA,LUNAS,SELESAI
INV-8260,260519RW6W981P,46157,ID3076,,702000,702000,BCA,LUNAS,SELESAI
INV-7117,,45919,ID2813,,152000,152000,BCA,LUNAS,SELESAI
INV-7869,,46106,ID2869,,539000,539000,BCA,LUNAS,SELESAI
INV-5521,,45719,ID2695,,1012000,1012000,BCA,LUNAS,SELESAI
INV-7427,251207Q9NE6RUU,45999,ID2677,,1078000,1078000,BCA,LUNAS,SELESAI
INV-7620,260121KVNJUTFQ,46043,ID2909,,399000,399000,BCA,LUNAS,SELESAI
INV-7296,2511062N99QM4Y,45967,ID2806,,462000,462000,BCA,LUNAS,SELESAI
INV-7670,260204TGFSKTTT,46058,ID2918,,130900,130900,BCA,LUNAS,SELESAI
INV-7488,,46013,ID2767,,926000,926000,BCA,LUNAS,SELESAI
INV-7035,,45904,ID2804,,128000,128000,BCA,LUNAS,SELESAI
INV-6625,2505052XUFRD6V,45782,ID2683,,590700,590700,BCA,LUNAS,SELESAI
INV-6713,,45811,ID2593,,755000,755000,BCA,LUNAS,SELESAI
INV-8280,260518NSDH486F,46160,ID3033,,23000,23000,BCA,LUNAS,SELESAI
INV-7537,,46025,ID0255,,760000,760000,BCA,LUNAS,SELESAI
INV-7883,,46107,ID0345,,438000,438000,BCA,LUNAS,SELESAI
INV-8126,260427VDAUYPKU,46139,ID2551,,642400,642400,BCA,LUNAS,SELESAI
INV-8344,260525AJ93C2U7,46167,ID3055,,23000,23000,BCA,LUNAS,SELESAI
INV-6529,250407MAEHF7DB,45754,ID2288,,861500,861500,BCA,LUNAS,SELESAI
INV-8342,2605248SJ0SFNY,46167,ID3105,,23000,23000,BCA,LUNAS,SELESAI
INV-5546,,45727,ID2215,,537000,537000,BCA,LUNAS,SELESAI
INV-7586,2601154YHPSXD2,46038,ID2814,,821500,821500,BCA,LUNAS,SELESAI
INV-7457,,46006,ID2686,,507000,507000,BCA,LUNAS,SELESAI
INV-5579,,45738,ID0224,,310000,310000,BCA,LUNAS,SELESAI
INV-5504,,45713,ID2716,,1099000,1099000,BCA,LUNAS,SELESAI
INV-6884,,45859,ID2515,,5380000,5380000,BCA,LUNAS,SELESAI
INV-8140,,46143,ID2924,,1800000,1800000,BCA,LUNAS,SELESAI
INV-6537,,45755,ID2642,,495000,495000,BCA,LUNAS,SELESAI
INV-8247,,46155,ID2365,,1614000,1614000,BCA,LUNAS,SELESAI
INV-6788,,45833,ID2516,,350000,350000,BCA,LUNAS,SELESAI
INV-7871,,46106,ID2897,,1475000,1475000,BCA,LUNAS,SELESAI
INV-7852,26031582SVJ2EH,46097,ID2955,,21000,21000,BCA,LUNAS,SELESAI
INV-7368,251125PNX9BV0A,45992,ID2677,,1501500,1501500,BCA,LUNAS,SELESAI
INV-6678,,45799,ID0206,,44000,44000,BCA,LUNAS,SELESAI
INV-7042,,45905,ID2801,,640000,640000,BCA,LUNAS,SELESAI
INV-8357,260526D9JDB28K,46168,ID3033,,23000,23000,BCA,LUNAS,SELESAI
INV-7926,260331JN10RJQU,46113,ID2984,,880000,880000,BCA,LUNAS,SELESAI
INV-6726,,45815,ID2225,,3150000,3150000,BCA,LUNAS,SELESAI
INV-5469,,45703,ID2475,,1000000,1000000,BCA,LUNAS,SELESAI
INV-5515,,45714,ID2497,,389500,389500,BCA,LUNAS,SELESAI
INV-7034,,45903,ID2824,,850000,850000,BCA,LUNAS,SELESAI
INV-8117,260427UMP26SFA,46139,ID3033,,23000,23000,BCA,LUNAS,SELESAI
INV-5506,,45713,ID2442,,2575000,2575000,BCA,LUNAS,SELESAI
INV-7935,,46113,ID2992,,4030000,4030000,BCA,LUNAS,SELESAI
INV-7535,,46025,ID2850,,845000,845000,BCA,LUNAS,SELESAI
INV-6981,,45884,ID2811,,586000,586000,BCA,LUNAS,SELESAI
INV-5340,,45660,ID2475,,12148000,12148000,BCA,LUNAS,SELESAI
INV-7577,260113V87D2GJE,46035,ID2907,,642000,642000,BCA,LUNAS,SELESAI
INV-8276,260516H2RKXKMT,46158,ID3055,,23000,23000,BCA,LUNAS,SELESAI
INV-8143,2604292SFE69M2,46141,ID3033,,23000,23000,BCA,LUNAS,SELESAI
INV-7410,,45995,ID2820,,880000,880000,BCA,LUNAS,SELESAI
INV-6792,,45834,ID2495,,715000,715000,BCA,LUNAS,SELESAI
INV-5549,,45729,ID0217,,279500,279500,BCA,LUNAS,SELESAI
INV-8463,,46184,ID2899,,189000,189000,BCA,LUNAS,SELESAI
INV-7680,,46060,ID2779,,909000,909000,BCA,LUNAS,SELESAI
INV-6633,,45783,ID2612,,1255000,1255000,BCA,LUNAS,SELESAI
INV-5534,,45723,ID1634,,500000,500000,BCA,LUNAS,SELESAI
INV-6680,,45800,ID2755,,387500,387500,BCA,LUNAS,SELESAI
INV-7519,251229KV99Y5NV,46022,ID1811,,1632000,1632000,BCA,LUNAS,SELESAI
INV-7579,,46035,ID2820,,880000,880000,BCA,LUNAS,SELESAI
INV-5360,,45667,ID2341,,3260000,3260000,BCA,LUNAS,SELESAI
INV-6926,,45870,ID1642,,447000,447000,BCA,LUNAS,SELESAI
INV-8300,,46162,ID0256,,327000,327000,BCA,LUNAS,SELESAI
INV-6735,,45817,ID2688,,387500,387500,BCA,LUNAS,SELESAI
INV-8162,,46144,ID2883,,1800000,1800000,BCA,LUNAS,SELESAI
INV-5391,,45677,ID2299,,603000,603000,BCA,LUNAS,SELESAI
INV-7011,,45897,ID2644,,3275000,3275000,BCA,LUNAS,SELESAI
INV-5373,,45670,ID2611,,2350000,2350000,BCA,LUNAS,SELESAI
INV-7740,,46074,ID2854,,503000,503000,BCA,LUNAS,SELESAI
INV-7558,,46029,ID2516,,350000,350000,BCA,LUNAS,SELESAI
INV-6939,,45874,ID2800,,402500,402500,BCA,LUNAS,SELESAI
INV-8196,,46148,ID0224,,615000,615000,BCA,LUNAS,SELESAI
INV-8302,260520TFAJDYM1,46162,ID3033,,23000,23000,BCA,LUNAS,SELESAI
INV-6655,,45790,ID1593,,447000,447000,BCA,LUNAS,SELESAI
INV-8032,,46125,ID2642,,870000,870000,BCA,LUNAS,SELESAI
INV-8311,260521124GXE21,46163,ID3104,,355500,355500,BCA,LUNAS,SELESAI
INV-7958,260404U751A4QE,46116,ID3004,,360000,360000,BCA,LUNAS,SELESAI
INV-7751,,46078,ID2881,,845000,845000,BCA,LUNAS,SELESAI
INV-5472,,45703,ID0224,,1154000,1154000,BCA,LUNAS,SELESAI
INV-6913,250729DTATJD05,45870,ID2798,,1353000,1353000,BCA,LUNAS,SELESAI
INV-5538,,45723,ID2341,,1405000,1405000,BCA,LUNAS,SELESAI
INV-8148,,46143,ID2660,,1180000,1180000,BCA,LUNAS,SELESAI
INV-7439,,46000,ID2811,,586000,586000,BCA,LUNAS,SELESAI
INV-8465,,46185,ID2933,,542000,542000,BCA,LUNAS,BERJALAN
INV-7804,,46090,ID2341,,865000,865000,BCA,LUNAS,SELESAI
INV-8233,2605126CTQBBRQ,46154,ID3055,,23000,23000,BCA,LUNAS,SELESAI
INV-8092,260422FQNJGPRB,46134,ID2991,,701000,701000,BCA,LUNAS,SELESAI
INV-8460,,46184,ID3087,,440000,440000,BCA,LUNAS,BERJALAN
INV-7769,,46083,ID2919,,304000,304000,BCA,LUNAS,SELESAI
INV-6833,,45845,ID2724,,1281000,1281000,BCA,LUNAS,SELESAI
INV-7498,,46023,ID2721,,1625000,1625000,BCA,LUNAS,SELESAI
INV-6895,,45862,ID2721,,1625000,1625000,BCA,LUNAS,SELESAI
INV-6694,,45804,ID2735,,781500,781500,BCA,LUNAS,SELESAI
INV-7409,,45995,ID0013,,2306000,2306000,BCA,LUNAS,SELESAI
INV-8030,260411HKQWE62H,46125,ID3042,,23000,23000,BCA,LUNAS,SELESAI
INV-8322,26052232HHA9X3,46164,ID3033,,23000,23000,BCA,LUNAS,SELESAI
INV-8070,,46132,ID2881,,900000,900000,BCA,LUNAS,SELESAI
INV-6535,250407MXEHK9N1,45754,ID2737,,677500,677500,BCA,LUNAS,SELESAI
INV-6835,,45845,ID2660,,950000,950000,BCA,LUNAS,SELESAI
INV-5371,,45670,ID2662,,490000,490000,BCA,LUNAS,SELESAI
INV-7639,,46050,ID2881,,845000,845000,BCA,LUNAS,SELESAI
INV-8113,2604172XH2WBFK,46129,ID3041,,144000,144000,BCA,LUNAS,SELESAI
INV-7808,,46090,ID2890,,845000,845000,BCA,LUNAS,SELESAI
INV-5442,,45695,ID2641,,520000,520000,BCA,LUNAS,SELESAI
INV-8457,,46184,ID2811,,692000,692000,BCA,LUNAS,BERJALAN
INV-7951,260403SVPUG77S,46115,ID3000,,230000,230000,BCA,LUNAS,SELESAI
INV-8178,260504HA0KBK9K,46147,ID3076,,643500,643500,BCA,LUNAS,SELESAI
INV-7802,260308JQ5DGHS0,46090,ID2560,,473000,473000,BCA,LUNAS,SELESAI
INV-7380,251127US4586GR,45992,ID2880,,281500,281500,BCA,LUNAS,SELESAI
INV-7301,,45968,ID2825,,282000,282000,BCA,LUNAS,SELESAI
INV-6603,,45776,ID2743,,460000,460000,BCA,LUNAS,SELESAI
INV-6890,,45860,ID2735,,277500,277500,BCA,LUNAS,SELESAI
INV-6638,,45785,ID2605,,1121500,1121500,BCA,LUNAS,SELESAI
INV-5449,,45696,ID2706,,419500,419500,BCA,LUNAS,SELESAI
INV-8079,,46133,ID3057,,451000,451000,BCA,LUNAS,SELESAI
INV-8004,260408A0PVA7RP,46121,ID3025,,324000,324000,BCA,LUNAS,SELESAI
INV-8243,,46155,ID2820,,940000,940000,BCA,LUNAS,SELESAI
INV-7521,,46020,ID2881,,845000,845000,BCA,LUNAS,SELESAI
INV-20260617-6770,,46190,ID2881,dikirim maxim,950000,500000,BCA,DP,BERJALAN
INV-5457,,45699,ID2658,,443500,443500,BCA,LUNAS,SELESAI
INV-7431,,45999,ID2644,,3200000,3200000,BCA,LUNAS,SELESAI
INV-6717,,45811,ID2721,,1725000,1725000,BCA,LUNAS,SELESAI
INV-6576,,45764,ID2688,,403500,403500,BCA,LUNAS,SELESAI
INV-7060,,45910,ID2800,,1480000,1480000,BCA,LUNAS,SELESAI
INV-7626,,46046,ID2333,,1360000,1360000,BCA,LUNAS,SELESAI
INV-7437,,45999,ID2813,,475500,475500,BCA,LUNAS,SELESAI
INV-7051,,45908,ID2828,,507000,507000,BCA,LUNAS,SELESAI
INV-6609,,45777,ID2748,,357500,357500,BCA,LUNAS,SELESAI
INV-8262,260515EC1ES566,46157,ID3055,,23000,23000,BCA,LUNAS,SELESAI
INV-6742,,45818,ID2215,,724500,724500,BCA,LUNAS,SELESAI
INV-5564,,45733,ID2660,,1000000,1000000,BCA,LUNAS,SELESAI
INV-6670,,45794,ID2721,,1725000,1725000,BCA,LUNAS,SELESAI
INV-6581,250419NCYQGQP3,45766,ID2584,,270600,270600,BCA,LUNAS,SELESAI
INV-6999,,45892,ID2649,,128000,128000,BCA,LUNAS,SELESAI
INV-8264,260515F3324J7V,46157,ID3050,,69000,69000,BCA,LUNAS,SELESAI
INV-6886,,45859,ID2792,,463000,463000,BCA,LUNAS,SELESAI
INV-8003,260408A2DQXSTB,46121,ID3017,,20000,20000,BCA,LUNAS,SELESAI
INV-7225,251017B1HM0KAM,45947,ID2814,,816000,816000,BCA,LUNAS,SELESAI
INV-7923,260331JDFQU2X1,46113,ID2981,,40000,40000,BCA,LUNAS,SELESAI
INV-7170,251007EH17CGGC,45937,ID2847,,975500,975500,BCA,LUNAS,SELESAI
INV-5392,,45677,ID0251,,4620000,4620000,BCA,LUNAS,SELESAI
INV-8201,260507QBKA3BMG,46149,ID3033,,23000,23000,BCA,LUNAS,SELESAI
INV-6775,2506226EX0QPEK,45831,ID2419,,790700,790700,BCA,LUNAS,SELESAI
INV-6850,,45847,ID2786,,485000,485000,BCA,LUNAS,SELESAI
INV-6705,,45809,ID2442,,2575000,2575000,BCA,LUNAS,SELESAI
INV-8211,260509VC2RAN7T,46151,ID3055,,23000,23000,BCA,LUNAS,SELESAI
INV-7039,,45904,ID0224,,505000,505000,BCA,LUNAS,SELESAI
INV-8271,,46158,ID3093,,2905000,2905000,BCA,LUNAS,SELESAI
INV-6719,,45811,ID2341,,855000,855000,BCA,LUNAS,SELESAI
INV-7920,60331JAJ84W2B,46113,ID2978,,80000,80000,BCA,LUNAS,SELESAI
INV-8153,2605018JSRWP47,46143,ID3033,,23000,23000,BCA,LUNAS,SELESAI
INV-7638,260127611T86HU,46054,ID2560,,473000,473000,BCA,LUNAS,SELESAI
INV-7877,,46107,ID2961,,2448000,2448000,BCA,LUNAS,SELESAI
INV-7103,,45918,ID1642,,50000,50000,BCA,LUNAS,SELESAI
INV-6515,,45752,ID2686,,537000,537000,BCA,LUNAS,SELESAI
INV-7384,,45989,ID2657,,293500,293500,BCA,LUNAS,SELESAI
INV-7234,,45950,ID2333,,715000,715000,BCA,LUNAS,SELESAI
INV-8318,,46164,ID2960,,1612000,1612000,BCA,LUNAS,SELESAI
INV-7756,,46079,ID2635,,542000,542000,BCA,LUNAS,SELESAI
INV-7214,2510155Q69NTKD,45945,ID2473,,580800,580800,BCA,LUNAS,SELESAI
INV-7984,,46119,ID2831,,1228500,1228500,BCA,LUNAS,SELESAI
INV-8082,260421CCB18UVR,46133,ID3033,,23000,23000,BCA,LUNAS,BERJALAN
INV-5425,,45687,ID2684,,22000,22000,BCA,LUNAS,SELESAI
INV-8158,260502A8FX54HE,46144,ID3038,,282000,282000,BCA,LUNAS,SELESAI
INV-6761,,45826,ID2324,,447000,447000,BCA,LUNAS,SELESAI
INV-6543,250409RERRK1CX,45756,ID1811,,841500,841500,BCA,LUNAS,SELESAI
INV-7102,,45918,ID2801,,640000,640000,BCA,LUNAS,SELESAI
INV-5611,,45751,ID2731,,300000,300000,BCA,LUNAS,BERJALAN
INV-7922,260331JCVCV5XE,46113,ID2974,,21000,21000,BCA,LUNAS,SELESAI
INV-6903,,45866,ID2642,,495000,495000,BCA,LUNAS,SELESAI
INV-8157,26050197PP5APK,46143,ID2979,,96000,96000,BCA,LUNAS,BERJALAN
INV-6957,,45877,ID2755,,645000,645000,BCA,LUNAS,SELESAI
INV-6952,,45876,ID2660,,485000,485000,BCA,LUNAS,SELESAI
INV-8024,,46123,ID3036,,155000,155000,BCA,LUNAS,SELESAI
INV-7936,,46113,ID2611,,2900000,2900000,BCA,LUNAS,SELESAI
INV-6997,250821BSTBMKU5,45891,ID2817,,954700,954700,BCA,LUNAS,SELESAI
INV-7499,2512234RUAYN43,46022,ID2898,,2343500,2343500,BCA,LUNAS,SELESAI
INV-7050,,45908,ID2215,,495000,495000,BCA,LUNAS,SELESAI
INV-8088,260421E38N8BQ3,46134,ID3055,,23000,23000,BCA,LUNAS,BERJALAN
INV-6842,250708KQUCKNWJ,45847,ID2782,,1167100,1167100,BCA,LUNAS,SELESAI
INV-6578,,45765,ID2627,,344000,344000,BCA,LUNAS,SELESAI
INV-6907,2507289R74NTXK,45866,ID1811,,821500,821500,BCA,LUNAS,SELESAI
INV-8137,2604281SVEQUH8,46140,ID3041,,23000,23000,BCA,LUNAS,SELESAI
INV-7810,,46090,ID2820,,885000,885000,BCA,LUNAS,SELESAI
INV-6592,,45771,ID2744,,128000,128000,BCA,LUNAS,SELESAI
INV-7546,,46027,ID2657,,487000,487000,BCA,LUNAS,SELESAI
INV-5609,,45751,ID2692,,3005000,3005000,BCA,LUNAS,SELESAI
INV-5526,,45719,ID2720,,118000,118000,BCA,LUNAS,SELESAI
INV-8395,,46175,ID2215,,962000,962000,BCA,LUNAS,SELESAI
INV-7478,,46010,ID2640,,695000,695000,BCA,LUNAS,SELESAI
INV-7905,260330FW6Q5U5H,46113,ID2921,,176000,176000,BCA,LUNAS,SELESAI
INV-7189,251010Q0HRNXM2,45941,ID2484,,469700,469700,BCA,LUNAS,SELESAI
INV-7603,,46041,ID2910,,349000,349000,BCA,LUNAS,SELESAI
INV-5415,,45684,ID2660,,500000,500000,BCA,LUNAS,SELESAI
INV-8361,,46174,ID3111,,3110000,3110000,BCA,LUNAS,SELESAI
INV-8009,260409C5WPESAN,46121,ID3029,,20000,20000,BCA,LUNAS,SELESAI
INV-7442,251209V80DX523,46000,ID2318,,500500,500500,BCA,LUNAS,SELESAI
INV-7073,,45912,ID2686,,507000,507000,BCA,LUNAS,SELESAI
INV-7058,,45910,ID2635,,577000,577000,BCA,LUNAS,SELESAI
INV-5478,,45705,ID2692,,3005000,3005000,BCA,LUNAS,SELESAI
INV-5393,,45677,ID1614,,279500,279500,BCA,LUNAS,SELESAI
INV-7919,260331J9HPQH36,46113,ID2977,,40000,40000,BCA,LUNAS,SELESAI
INV-7179,,45938,ID2848,,975000,975000,BCA,LUNAS,SELESAI
INV-8095,260423J167HKUF,46135,ID3055,,23000,23000,BCA,LUNAS,BERJALAN
INV-7505,,46015,ID2033,,2385000,2385000,BCA,LUNAS,SELESAI
INV-20260617-7691,,46189,ID2324,dikirim maxim,600000,600000,BCA,LUNAS,BERJALAN
INV-7224,251017AUTJFMDS,45947,ID2856,,6798000,6798000,BCA,LUNAS,SELESAI
INV-7700,,46065,ID2657,,1175000,1175000,BCA,LUNAS,SELESAI
INV-7160,,45933,ID0324,,128000,128000,BCA,LUNAS,SELESAI
INV-6798,,45834,ID2660,,485000,485000,BCA,LUNAS,SELESAI
INV-8104,,46136,ID3062,,785000,785000,BCA,LUNAS,SELESAI
INV-5540,,45724,ID2593,,780000,780000,BCA,LUNAS,SELESAI
INV-7313,251110E5GDNBNC,45972,ID2560,,489500,489500,BCA,LUNAS,SELESAI
INV-7332,,45975,ID2593,,695000,695000,BCA,LUNAS,SELESAI
INV-7745,,46076,ID2869,,448000,448000,BCA,LUNAS,SELESAI
INV-6594,,45772,ID2578,,2850000,2850000,BCA,LUNAS,SELESAI
INV-8037,260414RVJHW5DS,46126,ID3044,,230000,230000,BCA,LUNAS,SELESAI
INV-7934,260401MW4PKQ9X,46113,ID2991,,699000,699000,BCA,LUNAS,SELESAI
INV-8266,260515F53B7MKC,46157,ID3091,,62000,62000,BCA,LUNAS,SELESAI
INV-7203,,45943,ID2660,,1210000,1210000,BCA,LUNAS,SELESAI
INV-7811,,46090,ID2686,,468000,468000,BCA,LUNAS,SELESAI
INV-7040,250904KJE4VX3H,45904,ID2569,,1703600,1703600,BCA,LUNAS,SELESAI
INV-6932,,45871,ID2644,,3275000,3275000,BCA,LUNAS,SELESAI
INV-6780,,45831,ID0216,,845000,845000,BCA,LUNAS,SELESAI
INV-7137,250929R20SRER2,45929,ID2841,,715000,715000,BCA,LUNAS,SELESAI
INV-8319,26052238WAG7VV,46164,ID3056,,23000,23000,BCA,LUNAS,BERJALAN
INV-7666,,46058,ID0263,,752500,752500,BCA,LUNAS,SELESAI
INV-6635,25050776M680M4,45784,ID2583,,477500,477500,BCA,LUNAS,SELESAI
INV-8066,26041844CTCR18,46130,ID3055,,23000,23000,BCA,LUNAS,BERJALAN
INV-7079,,45915,ID2820,,675000,675000,BCA,LUNAS,SELESAI
INV-7580,,46036,ID2692,,3000000,3000000,BCA,LUNAS,SELESAI
INV-7693,,46063,ID2869,,448000,448000,BCA,LUNAS,SELESAI
INV-6805,,45838,ID2139,,1061000,1061000,BCA,LUNAS,SELESAI
INV-7651,260131FDBGMWXB,46054,ID2031,,552200,552200,BCA,LUNAS,SELESAI
INV-5346,,45663,ID1634,,500000,500000,BCA,LUNAS,SELESAI
INV-8213,260509VXAPM9AJ,46151,ID3082,,23000,23000,BCA,LUNAS,SELESAI
INV-8263,260515EAY16FSS,46157,ID3033,,23000,23000,BCA,LUNAS,SELESAI
INV-7448,2512114Q4XGNJK,46003,ID2560,,489500,489500,BCA,LUNAS,SELESAI
INV-8053,,46129,ID2900,,1260000,1260000,BCA,LUNAS,SELESAI
INV-5450,,45696,ID2688,,404500,404500,BCA,LUNAS,SELESAI
INV-7885,,46108,ID2657,,1175000,1175000,BCA,LUNAS,SELESAI
INV-8096,260423J1B3X3DK,46135,ID3033,,23000,23000,BCA,LUNAS,SELESAI
INV-7624,,46054,ID2721,,3250000,3250000,BCA,LUNAS,SELESAI
INV-8074,260420A1YJ1W4G,46132,ID3033,,23000,23000,BCA,LUNAS,BERJALAN
INV-7736,,46073,ID2902,,287500,287500,BCA,LUNAS,SELESAI
INV-6600,,45775,ID2098,,920500,920500,BCA,LUNAS,BERJALAN
INV-6582,,45766,ID2714,,537000,537000,BCA,LUNAS,SELESAI
INV-7571,,46034,ID2885,,3240000,3240000,BCA,LUNAS,SELESAI
INV-8325,,46165,ID2605,,2357000,2357000,BCA,LUNAS,SELESAI
INV-6908,,45870,ID2788,,504000,504000,BCA,LUNAS,SELESAI
INV-7167,,45936,ID2642,,724500,724500,BCA,LUNAS,SELESAI
INV-6676,250521EEDMBKHM,45798,ID2031,,581900,581900,BCA,LUNAS,SELESAI
INV-7143,,45930,ID2813,,739000,739000,BCA,LUNAS,SELESAI
INV-8071,,46132,ID2867,,888000,888000,BCA,LUNAS,SELESAI
INV-7389,,45992,ID2662,,3250000,3250000,BCA,LUNAS,SELESAI
INV-5555,,45731,ID2475,,1100000,1100000,BCA,LUNAS,BERJALAN
INV-8077,,46132,ID2627,,940000,940000,BCA,LUNAS,SELESAI
INV-8058,2604172W3PGBXR,46129,ID3052,,416000,416000,BCA,LUNAS,SELESAI
INV-8067,26041843U9MCN8,46130,ID3033,,23000,23000,BCA,LUNAS,BERJALAN
INV-7599,2601179N4SK1YF,46041,ID2909,,462000,462000,BCA,LUNAS,SELESAI
INV-8103,260424MG6WSPXB,46136,ID3061,,23000,23000,BCA,LUNAS,SELESAI
INV-6877,,45855,ID2644,,3275000,3275000,BCA,LUNAS,SELESAI
INV-5350,,45664,ID2433,,499000,499000,BCA,LUNAS,SELESAI
INV-8023,260411H5703HG7,46123,ID3038,,115000,115000,BCA,LUNAS,SELESAI
INV-6770,2506190J2WBHHC,45827,ID2771,,172700,172700,BCA,LUNAS,SELESAI
INV-8012,260410E4514ACN,46122,ID3032,,23000,23000,BCA,LUNAS,SELESAI
INV-7366,251125NX4Q3GST,45992,ID2878,,1350200,1350200,BCA,LUNAS,SELESAI
INV-6727,,45815,ID2625,,283500,283500,BCA,LUNAS,SELESAI
INV-7055,,45909,ID2139,,677500,677500,BCA,LUNAS,SELESAI
