product_code,name,category,workshop_code,HPP_murni
STG025,BOTOL 1000 ml,BOTOL,GLOBAL,3400
STG024,BOTOL 500 ml,BOTOL,GLOBAL,2300
STG023,BOTOL 250 ml (TEBAL),BOTOL,GLOBAL,1800
STG105,BOTOL 250 ml (TIPIS),BOTOL,GLOBAL,1080
STG061,BOX_DUS Nasi L,BOX DUS,GLOBAL,1350
STG060,BOX_DUS Nasi M,BOX DUS,GLOBAL,1250
STG067,BOX_DUS Lunch L (Ivory),BOX DUS,GLOBAL,1200
STG066,BOX_DUS Lunch M (ivory),BOX DUS,GLOBAL,1100
STG059,BOX_DUS Nasi S,BOX DUS,GLOBAL,1050
STG133,BOX_DUS Lunch S (Ivory),BOX DUS,GLOBAL,1000
STG046,BOX_DUS Lunch L (Kraft),BOX DUS,GLOBAL,700
STG045,BOX_DUS Lunch M (Kraft),BOX DUS,GLOBAL,616.6
STG137,BOX_DUS Snack M (duplex),BOX DUS,GLOBAL,600
STG136,BOX_DUS Snack M (kraft),BOX DUS,GLOBAL,530
STG044,BOX_DUS Lunch S (Kraft),BOX DUS,GLOBAL,500
STG135,BOX_DUS Snack S (kraft),BOX DUS,GLOBAL,490
STG126,BOX_DUS bag Ayam (putih),BOX DUS,GLOBAL,290
STG127,BOX_DUS bag Ayam (Coklat),BOX DUS,GLOBAL,270
STG190,12 OZ DATAR (BENING FROST) 1,CUP INJECT,GUDANG,710
STG175,12 OZ DATAR (BENING GLOSSY) 1,CUP INJECT,GUDANG,810
STG192,12 OZ OVAL (BENING GLOSSY) 1,CUP INJECT,GUDANG,655
STG206,14 OZ DATAR (BENING GLOSSY) 1,CUP INJECT,GUDANG,710
STG195,14 OZ DATAR (HITAM FROST) 1,CUP INJECT,GUDANG,810
STG184,14 OZ FLAT 400ml (BENING FROST)1,CUP INJECT,GUDANG,890
STG196,16 OZ FLAT 500ml (BENING GLOSSY) 1,CUP INJECT,GUDANG,840.4
STG179,22 OZ DATAR (BENING GLOSSY) 1,CUP INJECT,GUDANG,955
STG100,CUP PET 16 OZ Flat,CUP PET,GUDANG,468
STG005,CUP PET 12 OZ Flat,CUP PET,GUDANG,425
STG129,CUP PET 14 OZ Oval,CUP PET,GUDANG,420
STG013,CUP PP 22 OZ Flat,CUP PP,GUDANG,492
STG014,CUP PP 22 OZ Oval,CUP PP,GUDANG,492
STG099,CUP PP 14 OZ Oval,CUP PP,GUDANG,436
STG003,CUP PP 12 OZ SAP,CUP PP,GUDANG,435
STG010,CUP PP 16 OZ Oval,CUP PP,GUDANG,426
STG012,CUP PP 18 OZ Oval,CUP PP,GUDANG,426
STG002,CUP PP 12 OZ 7 gr,CUP PP,GUDANG,415
STG183,CUP PP 12 OZ 7 GR POLYCUP,CUP PP,GUDANG,410
STG011,CUP PP 18 OZ Flat,CUP PP,GUDANG,395
STG007,CUP PP 14 OZ 7 gr,CUP PP,GUDANG,394
STG009,CUP PP 16 OZ 7 gr,CUP PP,GUDANG,394
STG004,CUP PP 12 OZ Oval,CUP PP,GUDANG,390
STG001,"CUP PP 12 OZ 5,2 gr",CUP PP,GUDANG,244
STG006,"CUP PP 14 OZ 5,2 gr",CUP PP,GUDANG,244
STG008,"CUP PP 16 OZ 5,2 gr",CUP PP,GUDANG,244
STG167,CUP_GOCUP 22 OZ DATAR 9 GR (DB),CUP GOCUP,GUDANG,460
STG173,"CUP_GOCUP 22 OZ OVAL 7,5 GR (DB)",CUP GOCUP,GUDANG,425.131
STG172,"CUP_GOCUP 22 OZ SLIM 7,5 GR (DB)",CUP GOCUP,GUDANG,423.713
STG166,"CUP_GOCUP 22 OZ DATAR 7,5 GR (DB)",CUP GOCUP,GUDANG,421.369
STG165,CUP_GOCUP 22 OZ DATAR 7 GR (DK),CUP GOCUP,GUDANG,400.837
STG168,CUP_GOCUP 12 OZ DATAR 7GR (DB),CUP GOCUP,GUDANG,400
STG171,"CUP_GOCUP 18 OZ SLIM 7,5 GR (DB)",CUP GOCUP,GUDANG,397
STG170,CUP_GOCUP 16 OZ DATAR 7 GR (DB),CUP GOCUP,GUDANG,372
STG186,12 OZ FLAT 380ml (HITAM FROST),CUP INJECT,GUDANG,1065
STG182,14 OZ FLAT 400ml (BENING GLOSSY),CUP INJECT,GUDANG,884
STG194,14 OZ FLAT 400ml (BENING FROST)1,CUP INJECT,GUDANG,800
STG180,12 OZ DATAR (BENING FROST),INJECT+TUTUP,GUDANG,900
STG189,12 OZ FLAT 380ml (BENING GLOSSY),INJECT+TUTUP,GUDANG,1100
STG191,12 OZ OVAL (BENING GLOSSY),INJECT+TUTUP,GUDANG,648
STG181,12 OZ OVAL 380ml (BENING GLOSSY),INJECT+TUTUP,GUDANG,1078
STG176,14 OZ DATAR (BENING FROST),INJECT+TUTUP,GUDANG,1080
STG193,14 OZ DATAR (BENING GLOSSY),INJECT+TUTUP,GUDANG,1050
STG177,14 OZ DATAR (HITAM FROST),INJECT+TUTUP,GUDANG,1150
STG178,16 OZ DATAR (BENING GLOSSY),INJECT+TUTUP,GUDANG,774
PRD-29491,Jasa sablon a4+,Jasa Layanan,KING,
PRD-32989,Sablon 2 warna,Jasa Layanan,KING,
PRD-33307,Fast Track 1-3 hari,Jasa Layanan,KING,
PRD-34260,Jasa Sablon a4,Jasa Layanan,KING,
STG022,PAPERBOWL 800 ml,PAPERBOWL,GUDANG,1076
STG021,PAPERBOWL 650 ml,PAPERBOWL,GUDANG,1048
STG020,PAPERBOWL 500 ml,PAPERBOWL,GUDANG,909
STG019,PAPERBOWL 360 ml,PAPERBOWL,GUDANG,884
STG148,PAPERCUP DW 8 oz (Hitam),PAPERCUP,GUDANG,744
STG142,PAPERCUP DW 8 oz (Kraft),PAPERCUP,GUDANG,644
STG143,PAPERCUP DW 8 oz (Putih),PAPERCUP,GUDANG,635
STG018,PAPERCUP 16 OZ,PAPERCUP,GUDANG,383
STG017,PAPERCUP 9 OZ,PAPERCUP,GUDANG,285
STG187,PAPERCUP 12 OZ,PAPERCUP,GUDANG,262
STG015,PAPERCUP 8 OZ,PAPERCUP,GUDANG,260
STG132,PLASTIK Sealer Cup 1200 (kemasan),SEALER,GLOBAL,47000
STG130,PLASTIK Sealer Cup (BG Putih),SEALER,GLOBAL,45000
STG131,PLASTIK Sealer Cup (BG Hitam),SEALER,GLOBAL,42000
STG079,PLASTIK Sealer Cup (Polos),SEALER,GLOBAL,31250
STG162,PLASTIK Sealer Cup (Ekonomis),SEALER,GLOBAL,26000
STG039,PLASTIK Kresek 15,PLASTIK,GLOBAL,16000
STG040,PLASTIK Kresek 24,PLASTIK,GLOBAL,16000
STG164,PLASTIK Plong bening 30x45 (indofoam),PLASTIK,GLOBAL,1045.454545
STG113,PLASTIK Bening 26,PLASTIK,GLOBAL,657.1428571
STG114,PLASTIK Bening 30,PLASTIK,GLOBAL,633.3333333
STG151,PLASTIK Plong bening 20x30 (indofoam),PLASTIK,GLOBAL,600
STG112,PLASTIK Bening 24,PLASTIK,GLOBAL,575
STG174,PLASTIK Bening 24 (indofoam 55),PLASTIK,GLOBAL,563.6363636
STG043,PLASTIK Kresek 35,PLASTIK,GLOBAL,533.3333333
STG042,PLASTIK Kresek 30,PLASTIK,GLOBAL,500
STG033,PLASTIK HD Plong 35x50,PLASTIK,GLOBAL,475
STG110,PLASTIK Plong Brownies (46),PLASTIK,GLOBAL,417.5
STG041,PLASTIK Kresek 28,PLASTIK,GLOBAL,400
STG032,PLASTIK HD Plong 30x40,PLASTIK,GLOBAL,330
STG188,PLASTIK Bening 15 (indofoam 500 gr),PLASTIK,GLOBAL,293.75
STG111,PLASTIK Bening 15,PLASTIK,GLOBAL,287.5
STG121,PLASTIK Bening 2 cup,PLASTIK,GLOBAL,220
STG030,PLASTIK HD Plong 20x30,PLASTIK,GLOBAL,185
STG120,PLASTIK Bening 1 cup,PLASTIK,GLOBAL,142.8571429
STG029,PLASTIK HD Plong 15x22,PLASTIK,GLOBAL,75
STG031,PLASTIK HD Plong 25x35,PLASTIK,GLOBAL,40
STG086,SEDOTAN Steril (Kertas),SEDOTAN,GLOBAL,20500
STG119,SEDOTAN Papercup,SEDOTAN,GLOBAL,12500
STG138,SEDOTAN Runcing (Bening / clear),SEDOTAN,GLOBAL,12250
STG088,SEDOTAN Runcing (Boba),SEDOTAN,GLOBAL,11000
STG087,SEDOTAN Runcing (Hitam),SEDOTAN,GLOBAL,7000
DS-024,TINTA SUPERGOLD,TINTA,GLOBAL,134000
DS-014,TINTA pale gold,TINTA,GLOBAL,105296.0714
DS-030,TINTA Violet CT,TINTA,GLOBAL,105261.25
DS-018,TINTA silver,TINTA,GLOBAL,102296.0714
DS-025,TINTA VIOLET 84,TINTA,GLOBAL,100000
DS-021,TINTA green tosca,TINTA,GLOBAL,99000
DS-013,TINTA gold,TINTA,GLOBAL,98000
DS-028,TINTA Fuchsia Pink,TINTA,GLOBAL,97000
DS-023,TINTA RED 11,TINTA,GLOBAL,94000
DS-011,TINTA blue peacock,TINTA,GLOBAL,92000
DS-032,TINTA Green Special,TINTA,GLOBAL,91296.07143
DS-020,TINTA brown,TINTA,GLOBAL,90261.25
DS-001,TINTA magenta,TINTA,GLOBAL,90000
DS-016,TINTA orange 53,TINTA,GLOBAL,90000
DS-017,TINTA orange vermilion,TINTA,GLOBAL,90000
DS-031,TINTA White doff,TINTA,GLOBAL,90000
DS-033,TINTA Reflex Blue,TINTA,GLOBAL,90000
DS-015,TINTA pink,TINTA,GLOBAL,89000
DS-010,TINTA yellow 24,TINTA,GLOBAL,88000
DS-004,TINTA red 100,TINTA,GLOBAL,87000
DS-005,TINTA red 16,TINTA,GLOBAL,87000
DS-003,TINTA red 9,TINTA,GLOBAL,86058.49057
DS-027,TINTA Blue 38,TINTA,GLOBAL,86000
DS-006,TINTA green 73,TINTA,GLOBAL,85000
DS-012,TINTA blue 39,TINTA,GLOBAL,85000
DS-026,TINTA Green 760,TINTA,GLOBAL,85000
DS-007,TINTA green 79,TINTA,GLOBAL,84261.25
DS-008,TINTA green 750,TINTA,GLOBAL,84261.25
DS-009,TINTA yellow 21,TINTA,GLOBAL,84000
DS-002,TINTA white 61,TINTA,GLOBAL,83500
DS-019,TINTA BLACK 92,TINTA,GLOBAL,79000
DS-029,TINTA Medium 01,TINTA,GLOBAL,70000
DS-022,TINTA Minyak M4,TINTA,GLOBAL,39083.33333
STG185,TUTUP CUP INJECT FLIP INJECT,TUTUP CUP INJECT,GUDANG,550
STG203,TUTUP CUP INJECT SAMBUNG HITAM,TUTUP CUP INJECT,GUDANG,385
STG201,TUTUP CUP INJECT SAMBUNG BENING GLOSSY,TUTUP CUP INJECT,GUDANG,350
STG202,TUTUP CUP INJECT SAMBUNG BENING FROST,TUTUP CUP INJECT,GUDANG,260
STG106,TUTUP CUP PET Strawless PET PLP,TUTUP CUP PET,GUDANG,210
STG082,TUTUP CUP PET Cembung PET Starindo,TUTUP CUP PET,GUDANG,180
STG083,TUTUP CUP PET Datar PET Starindo,TUTUP CUP PET,GUDANG,180
STG163,TUTUP CUP PET Strawless PET STARINDO,TUTUP CUP PET,GUDANG,175
STG149,TUTUP CUP PP Strawless pp besar,TUTUP CUP PP,GUDANG,175
STG081,TUTUP CUP PP Cembung Besar Starindo,TUTUP CUP PP,GUDANG,135
STG134,TUTUP CUP PP Datar Besar Starindo,TUTUP CUP PP,GUDANG,113
STG146,TUTUP CUP PP Datar Kecil Starindo,TUTUP CUP PP,GUDANG,113
STG080,TUTUP CUP PP Cembung Kecil Starindo,TUTUP CUP PP,GUDANG,103
STG205,TUTUP GOCUP STRAWLESS GOCUP,TUTUP GOCUP,GUDANG,172
STG144,TUTUP PAPERCUP Paper Cup DW 8 oz (Putih),TUTUP PAPERCUP,GUDANG,520
STG145,TUTUP PAPERCUP Paper Cup DW 8 oz (Hitam),TUTUP PAPERCUP,GUDANG,520
STG085,TUTUP PAPERCUP Papercup 9 OZ,TUTUP PAPERCUP,GUDANG,225
STG084,TUTUP PAPERCUP Papercup 8 OZ,TUTUP PAPERCUP,GUDANG,185
