product_code,name,product_name,multiplier
STG025,BOTOL 1000 ml,PACK,100
STG024,BOTOL 500 ml,PACK,100
STG023,BOTOL 250 ml (TEBAL),PACK,100
STG105,BOTOL 250 ml (TIPIS),PACK,100
STG061,BOX_DUS Nasi L,PACK,100
STG060,BOX_DUS Nasi M,PACK,100
STG067,BOX_DUS Lunch L (Ivory),PACK,100
STG066,BOX_DUS Lunch M (ivory),PACK,100
STG059,BOX_DUS Nasi S,PACK,100
STG133,BOX_DUS Lunch S (Ivory),PACK,100
STG046,BOX_DUS Lunch L (Kraft),PACK,100
STG045,BOX_DUS Lunch M (Kraft),PACK,100
STG137,BOX_DUS Snack M (duplex),PACK,100
STG136,BOX_DUS Snack M (kraft),PACK,100
STG044,BOX_DUS Lunch S (Kraft),PACK,100
STG135,BOX_DUS Snack S (kraft),PACK,100
STG126,BOX_DUS bag Ayam (putih),PACK,100
STG127,BOX_DUS bag Ayam (Coklat),PACK,100
STG190,12 OZ DATAR (BENING FROST) 1,DUS,500
STG175,12 OZ DATAR (BENING GLOSSY) 1,DUS,500
STG192,12 OZ OVAL (BENING GLOSSY) 1,DUS,500
STG206,14 OZ DATAR (BENING GLOSSY) 1,DUS,500
STG195,14 OZ DATAR (HITAM FROST) 1,DUS,500
STG184,14 OZ FLAT 400ml (BENING FROST)1,DUS,500
STG196,16 OZ FLAT 500ml (BENING GLOSSY) 1,DUS,500
STG179,22 OZ DATAR (BENING GLOSSY) 1,DUS,500
STG100,CUP PET 16 OZ Flat,DUS,1000
STG005,CUP PET 12 OZ Flat,DUS,1000
STG129,CUP PET 14 OZ Oval,DUS,1000
STG013,CUP PP 22 OZ Flat,DUS,1000
STG014,CUP PP 22 OZ Oval,DUS,1000
STG099,CUP PP 14 OZ Oval,DUS,1000
STG003,CUP PP 12 OZ SAP,DUS,1000
STG010,CUP PP 16 OZ Oval,DUS,1000
STG012,CUP PP 18 OZ Oval,DUS,1000
STG002,CUP PP 12 OZ 7 gr,DUS,1000
STG183,CUP PP 12 OZ 7 GR POLYCUP,DUS,1000
STG011,CUP PP 18 OZ Flat,DUS,1000
STG007,CUP PP 14 OZ 7 gr,DUS,1000
STG009,CUP PP 16 OZ 7 gr,DUS,1000
STG004,CUP PP 12 OZ Oval,DUS,1000
STG001,"CUP PP 12 OZ 5,2 gr",DUS,1000
STG006,"CUP PP 14 OZ 5,2 gr",DUS,1000
STG008,"CUP PP 16 OZ 5,2 gr",DUS,1000
STG167,CUP_GOCUP 22 OZ DATAR 9 GR (DB),DUS,1000
STG173,"CUP_GOCUP 22 OZ OVAL 7,5 GR (DB)",DUS,1000
STG172,"CUP_GOCUP 22 OZ SLIM 7,5 GR (DB)",DUS,1000
STG166,"CUP_GOCUP 22 OZ DATAR 7,5 GR (DB)",DUS,1000
STG165,CUP_GOCUP 22 OZ DATAR 7 GR (DK),DUS,1000
STG168,CUP_GOCUP 12 OZ DATAR 7GR (DB),DUS,1000
STG171,"CUP_GOCUP 18 OZ SLIM 7,5 GR (DB)",DUS,1000
STG170,CUP_GOCUP 16 OZ DATAR 7 GR (DB),DUS,1000
STG186,12 OZ FLAT 380ml (HITAM FROST),DUS,500
STG182,14 OZ FLAT 400ml (BENING GLOSSY),DUS,500
STG194,14 OZ FLAT 400ml (BENING FROST)1,DUS,500
STG180,12 OZ DATAR (BENING FROST),DUS,500
STG189,12 OZ FLAT 380ml (BENING GLOSSY),DUS,500
STG191,12 OZ OVAL (BENING GLOSSY),DUS,500
STG181,12 OZ OVAL 380ml (BENING GLOSSY),DUS,500
STG176,14 OZ DATAR (BENING FROST),DUS,500
STG193,14 OZ DATAR (BENING GLOSSY),DUS,500
STG177,14 OZ DATAR (HITAM FROST),DUS,500
STG178,16 OZ DATAR (BENING GLOSSY),DUS,500
PRD-29491,Jasa sablon a4+,PCS,1
PRD-32989,Sablon 2 warna,PCS,1
PRD-33307,Fast Track 1-3 hari,PCS,1
PRD-34260,Jasa Sablon a4,PCS,1
STG022,PAPERBOWL 800 ml,DUS,500
STG021,PAPERBOWL 650 ml,DUS,500
STG020,PAPERBOWL 500 ml,DUS,500
STG019,PAPERBOWL 360 ml,DUS,500
STG148,PAPERCUP DW 8 oz (Hitam),DUS,500
STG142,PAPERCUP DW 8 oz (Kraft),DUS,500
STG143,PAPERCUP DW 8 oz (Putih),DUS,500
STG018,PAPERCUP 16 OZ,DUS,1000
STG017,PAPERCUP 9 OZ,DUS,1000
STG187,PAPERCUP 12 OZ,DUS,1000
STG015,PAPERCUP 8 OZ,DUS,1000
STG132,PLASTIK Sealer Cup 1200 (kemasan),PCS,1
STG130,PLASTIK Sealer Cup (BG Putih),PCS,1
STG131,PLASTIK Sealer Cup (BG Hitam),PCS,1
STG079,PLASTIK Sealer Cup (Polos),PCS,1
STG162,PLASTIK Sealer Cup (Ekonomis),PCS,1
STG039,PLASTIK Kresek 15,PACK,100
STG040,PLASTIK Kresek 24,PACK,50
STG164,PLASTIK Plong bening 30x45 (indofoam),PACK,22
STG113,PLASTIK Bening 26,PACK,35
STG114,PLASTIK Bening 30,PACK,30
STG151,PLASTIK Plong bening 20x30 (indofoam),PACK,25
STG112,PLASTIK Bening 24,PACK,20
STG174,PLASTIK Bening 24 (indofoam 55),PACK,55
STG043,PLASTIK Kresek 35,PACK,30
STG042,PLASTIK Kresek 30,PACK,30
STG033,PLASTIK HD Plong 35x50,PACK,100
STG110,PLASTIK Plong Brownies (46),PACK,100
STG041,PLASTIK Kresek 28,PACK,35
STG032,PLASTIK HD Plong 30x40,PACK,100
STG188,PLASTIK Bening 15 (indofoam 500 gr),PACK,80
STG111,PLASTIK Bening 15,PACK,40
STG121,PLASTIK Bening 2 cup,PACK,25
STG030,PLASTIK HD Plong 20x30,PACK,100
STG120,PLASTIK Bening 1 cup,PACK,35
STG029,PLASTIK HD Plong 15x22,PACK,100
STG031,PLASTIK HD Plong 25x35,PACK,100
STG086,SEDOTAN Steril (Kertas),PACK,1
STG119,SEDOTAN Papercup,PACK,1
STG138,SEDOTAN Runcing (Bening / clear),PACK,1
STG088,SEDOTAN Runcing (Boba),PACK,1
STG087,SEDOTAN Runcing (Hitam),PACK,1
DS-024,TINTA SUPERGOLD,PCS,1
DS-014,TINTA pale gold,PCS,1
DS-030,TINTA Violet CT,PCS,1
DS-018,TINTA silver,PCS,1
DS-025,TINTA VIOLET 84,PCS,1
DS-021,TINTA green tosca,PCS,1
DS-013,TINTA gold,PCS,1
DS-028,TINTA Fuchsia Pink,PCS,1
DS-023,TINTA RED 11,PCS,1
DS-011,TINTA blue peacock,PCS,1
DS-032,TINTA Green Special,PCS,1
DS-020,TINTA brown,PCS,1
DS-001,TINTA magenta,PCS,1
DS-016,TINTA orange 53,PCS,1
DS-017,TINTA orange vermilion,PCS,1
DS-031,TINTA White doff,PCS,1
DS-033,TINTA Reflex Blue,PCS,1
DS-015,TINTA pink,PCS,1
DS-010,TINTA yellow 24,PCS,1
DS-004,TINTA red 100,PCS,1
DS-005,TINTA red 16,PCS,1
DS-003,TINTA red 9,PCS,1
DS-027,TINTA Blue 38,PCS,1
DS-006,TINTA green 73,PCS,1
DS-012,TINTA blue 39,PCS,1
DS-026,TINTA Green 760,PCS,1
DS-007,TINTA green 79,PCS,1
DS-008,TINTA green 750,PCS,1
DS-009,TINTA yellow 21,PCS,1
DS-002,TINTA white 61,PCS,1
DS-019,TINTA BLACK 92,PCS,1
DS-029,TINTA Medium 01,PCS,1
DS-022,TINTA Minyak M4,PCS,1
STG185,TUTUP CUP INJECT FLIP INJECT,DUS,500
STG203,TUTUP CUP INJECT SAMBUNG HITAM,DUS,500
STG201,TUTUP CUP INJECT SAMBUNG BENING GLOSSY,DUS,500
STG202,TUTUP CUP INJECT SAMBUNG BENING FROST,DUS,500
STG106,TUTUP CUP PET Strawless PET PLP,DUS,1000
STG082,TUTUP CUP PET Cembung PET Starindo,DUS,1000
STG083,TUTUP CUP PET Datar PET Starindo,DUS,1000
STG163,TUTUP CUP PET Strawless PET STARINDO,DUS,1000
STG149,TUTUP CUP PP Strawless pp besar,DUS,1000
STG081,TUTUP CUP PP Cembung Besar Starindo,DUS,1000
STG134,TUTUP CUP PP Datar Besar Starindo,DUS,1000
STG146,TUTUP CUP PP Datar Kecil Starindo,DUS,1000
STG080,TUTUP CUP PP Cembung Kecil Starindo,DUS,1000
STG205,TUTUP GOCUP STRAWLESS GOCUP,DUS,1000
STG144,TUTUP PAPERCUP Paper Cup DW 8 oz (Putih),DUS,500
STG145,TUTUP PAPERCUP Paper Cup DW 8 oz (Hitam),DUS,500
STG085,TUTUP PAPERCUP Papercup 9 OZ,DUS,1000
STG084,TUTUP PAPERCUP Papercup 8 OZ,DUS,1000
STG025,BOTOL 1000 ml,PCS,1
STG024,BOTOL 500 ml,PCS,1
STG023,BOTOL 250 ml (TEBAL),PCS,1
STG105,BOTOL 250 ml (TIPIS),PCS,1
STG061,BOX_DUS Nasi L,PCS,1
STG060,BOX_DUS Nasi M,PCS,1
STG067,BOX_DUS Lunch L (Ivory),PCS,1
STG066,BOX_DUS Lunch M (ivory),PCS,1
STG059,BOX_DUS Nasi S,PCS,1
STG133,BOX_DUS Lunch S (Ivory),PCS,1
STG046,BOX_DUS Lunch L (Kraft),PCS,1
STG045,BOX_DUS Lunch M (Kraft),PCS,1
STG137,BOX_DUS Snack M (duplex),PCS,1
STG136,BOX_DUS Snack M (kraft),PCS,1
STG044,BOX_DUS Lunch S (Kraft),PCS,1
STG135,BOX_DUS Snack S (kraft),PCS,1
STG126,BOX_DUS bag Ayam (putih),PCS,1
STG127,BOX_DUS bag Ayam (Coklat),PCS,1
STG190,12 OZ DATAR (BENING FROST) 1,ROLL,25
STG175,12 OZ DATAR (BENING GLOSSY) 1,ROLL,25
STG192,12 OZ OVAL (BENING GLOSSY) 1,ROLL,25
STG206,14 OZ DATAR (BENING GLOSSY) 1,ROLL,25
STG195,14 OZ DATAR (HITAM FROST) 1,ROLL,25
STG184,14 OZ FLAT 400ml (BENING FROST)1,ROLL,25
STG196,16 OZ FLAT 500ml (BENING GLOSSY) 1,ROLL,25
STG179,22 OZ DATAR (BENING GLOSSY) 1,ROLL,25
STG100,CUP PET 16 OZ Flat,ROLL,50
STG005,CUP PET 12 OZ Flat,ROLL,50
STG129,CUP PET 14 OZ Oval,ROLL,50
STG013,CUP PP 22 OZ Flat,ROLL,50
STG014,CUP PP 22 OZ Oval,ROLL,50
STG099,CUP PP 14 OZ Oval,ROLL,50
STG003,CUP PP 12 OZ SAP,ROLL,50
STG010,CUP PP 16 OZ Oval,ROLL,50
STG012,CUP PP 18 OZ Oval,ROLL,50
STG002,CUP PP 12 OZ 7 gr,ROLL,50
STG183,CUP PP 12 OZ 7 GR POLYCUP,ROLL,50
STG011,CUP PP 18 OZ Flat,ROLL,50
STG007,CUP PP 14 OZ 7 gr,ROLL,50
STG009,CUP PP 16 OZ 7 gr,ROLL,50
STG004,CUP PP 12 OZ Oval,ROLL,50
STG001,"CUP PP 12 OZ 5,2 gr",ROLL,50
STG006,"CUP PP 14 OZ 5,2 gr",ROLL,50
STG008,"CUP PP 16 OZ 5,2 gr",ROLL,50
STG167,CUP_GOCUP 22 OZ DATAR 9 GR (DB),ROLL,50
STG173,"CUP_GOCUP 22 OZ OVAL 7,5 GR (DB)",ROLL,50
STG172,"CUP_GOCUP 22 OZ SLIM 7,5 GR (DB)",ROLL,50
STG166,"CUP_GOCUP 22 OZ DATAR 7,5 GR (DB)",ROLL,50
STG165,CUP_GOCUP 22 OZ DATAR 7 GR (DK),ROLL,50
STG168,CUP_GOCUP 12 OZ DATAR 7GR (DB),ROLL,50
STG171,"CUP_GOCUP 18 OZ SLIM 7,5 GR (DB)",ROLL,50
STG170,CUP_GOCUP 16 OZ DATAR 7 GR (DB),ROLL,50
STG186,12 OZ FLAT 380ml (HITAM FROST),ROLL,25
STG182,14 OZ FLAT 400ml (BENING GLOSSY),ROLL,25
STG194,14 OZ FLAT 400ml (BENING FROST)1,ROLL,25
STG180,12 OZ DATAR (BENING FROST),ROLL,25
STG189,12 OZ FLAT 380ml (BENING GLOSSY),ROLL,25
STG191,12 OZ OVAL (BENING GLOSSY),ROLL,25
STG181,12 OZ OVAL 380ml (BENING GLOSSY),ROLL,25
STG176,14 OZ DATAR (BENING FROST),ROLL,25
STG193,14 OZ DATAR (BENING GLOSSY),ROLL,25
STG177,14 OZ DATAR (HITAM FROST),ROLL,25
STG178,16 OZ DATAR (BENING GLOSSY),ROLL,25
STG022,PAPERBOWL 800 ml,ROLL,25
STG021,PAPERBOWL 650 ml,ROLL,25
STG020,PAPERBOWL 500 ml,ROLL,25
STG019,PAPERBOWL 360 ml,ROLL,25
STG148,PAPERCUP DW 8 oz (Hitam),ROLL,25
STG142,PAPERCUP DW 8 oz (Kraft),ROLL,25
STG143,PAPERCUP DW 8 oz (Putih),ROLL,25
STG018,PAPERCUP 16 OZ,ROLL,50
STG017,PAPERCUP 9 OZ,ROLL,50
STG187,PAPERCUP 12 OZ,ROLL,50
STG015,PAPERCUP 8 OZ,ROLL,50
STG132,PLASTIK Sealer Cup 1200 (kemasan),,
STG130,PLASTIK Sealer Cup (BG Putih),,
STG131,PLASTIK Sealer Cup (BG Hitam),,
STG079,PLASTIK Sealer Cup (Polos),,
STG162,PLASTIK Sealer Cup (Ekonomis),,
STG039,PLASTIK Kresek 15,PCS,1
STG040,PLASTIK Kresek 24,PCS,1
STG164,PLASTIK Plong bening 30x45 (indofoam),PCS,1
STG113,PLASTIK Bening 26,PCS,1
STG114,PLASTIK Bening 30,PCS,1
STG151,PLASTIK Plong bening 20x30 (indofoam),PCS,1
STG112,PLASTIK Bening 24,PCS,1
STG174,PLASTIK Bening 24 (indofoam 55),PCS,1
STG043,PLASTIK Kresek 35,PCS,1
STG042,PLASTIK Kresek 30,PCS,1
STG033,PLASTIK HD Plong 35x50,PCS,1
STG110,PLASTIK Plong Brownies (46),PCS,1
STG041,PLASTIK Kresek 28,PCS,1
STG032,PLASTIK HD Plong 30x40,PCS,1
STG188,PLASTIK Bening 15 (indofoam 500 gr),PCS,1
STG111,PLASTIK Bening 15,PCS,1
STG121,PLASTIK Bening 2 cup,PCS,1
STG030,PLASTIK HD Plong 20x30,PCS,1
STG120,PLASTIK Bening 1 cup,PCS,1
STG029,PLASTIK HD Plong 15x22,PCS,1
STG031,PLASTIK HD Plong 25x35,PCS,1
STG185,TUTUP CUP INJECT FLIP INJECT,ROLL,25
STG203,TUTUP CUP INJECT SAMBUNG HITAM,ROLL,25
STG201,TUTUP CUP INJECT SAMBUNG BENING GLOSSY,ROLL,25
STG202,TUTUP CUP INJECT SAMBUNG BENING FROST,ROLL,25
